원래	고치자고 한 것	뜻	왜 미뤘나
rộng rãi	hào phóng	화통한(밥 잘사주는)	미룸
cây gia hệ	gia phả	가계도	미룸
máy di động	điện thoại di động	휴대전화	미룸
thấy thấy	thấy	(느끼다)	미룸
bVđa khoa	bệnh viện đa khoa	종합 병원	미룸
bVchuyên khoa	bệnh viện chuyên khoa	전문 병원	미룸
bVĐông y	bệnh viện Đông y	전통 의학 병원	미룸
trụ sở	địa chỉ	주소	미룸
đến nhau	đến gần nhau	서로 다가가다	미룸
barang konsumsi	hàng tiêu dùng	소비재	미룸
ungkapkan	diễn đạt	표현하다	미룸
s+mới mới+V	vừa mới V	방금 ~했다	미룸
